Hash: 0040F6E8, Key: Sort, Value: Sort
Hash: 140CEBD2, Key: Skills, Value: Skills
Hash: 1E0EBA12, Key: Skills_RankUnlocked, Value: {s1} Rank {s2}
Hash: A8664234, Key: DeathMenuWaitingForResurrect, Value: Wait to be Resurrected
Hash: 98C7CF09, Key: CharacterZoomIn, Value: Zoom on Character
Hash: 2A6895F5, Key: DruidCharges, Value: Primal Wrath
Hash: 8685ED90, Key: DeathMenuPvPResurrect, Value: Accept Resurrection ({s1})
Hash: ED5D3717, Key: RuneFlippyFormat, Value: {s1} Rune
Hash: 5A41D8BC, Key: Skill_PointsAvailable, Value: Skill Points Available
Hash: 2E95783E, Key: SkillPoints_Update, Value: Skills Update
Hash: 7A23897B, Key: ItemPickup, Value: +{s1} {s2}
Hash: 3271C9F1, Key: Notification_PointAvailable, Value: Point Available
Hash: 2E8F65C4, Key: Notification_PointsAvailable, Value: Points Available
Hash: 291CD57A, Key: SoundOption_CinematicsSubtitles_Off, Value: Off
Hash: 378C829C, Key: SoundOption_CinematicsSubtitles_On, Value: On
Hash: C9608807, Key: SoundOption_CinematicsSubtitles_ClosedCaption, Value: Closed Caption
Hash: 93AA2030, Key: PvPDeathMenuResurrect, Value: Resurrect
Hash: D462E8A2, Key: PvPwaitingForRezTimer, Value: Resurrect in : {s1}
Hash: B7A5BDE9, Key: Skill_PointAvailable, Value: Skill Point Available
Hash: 11515F60, Key: Return, Value: Return
Hash: 8879C03B, Key: BagType_NecroArmy, Value: Army
Hash: A16F4354, Key: OptionCustom, Value: Custom
Hash: 24598F5D, Key: OptionAniso2x, Value: 2x
Hash: 24598F9F, Key: OptionAniso4x, Value: 4x
Hash: 24599023, Key: OptionAniso8x, Value: 8x
Hash: AF8B6EB2, Key: OptionAniso16x, Value: 16x
Hash: 44FD9C72, Key: LocaleOption_English, Value: English
Hash: E8F54AF8, Key: LocaleOption_SpanishEU, Value: Spanish (Castilian)
Hash: 6A66B64D, Key: LocaleOption_SpanishLatam, Value: Spanish (Latin-American)
Hash: FCF1BC5E, Key: LocaleOption_French, Value: French
Hash: 8678EDEA, Key: LocaleOption_Italian, Value: Italian
Hash: FE62C2E2, Key: LocaleOption_German, Value: German
Hash: 086C3868, Key: LocaleOption_Korean, Value: Korean
Hash: 5327439E, Key: LocaleOption_Portuguese_Brazil, Value: Brazilian Portuguese
Hash: 3EE3C90D, Key: LocaleOption_Russian, Value: Russian
Hash: 16403BAC, Key: LocaleOption_Chinese_Simplified, Value: Chinese (Simplified)
Hash: 320BFCC1, Key: LocaleOption_Chinese_Traditional, Value: Chinese (Traditional)
Hash: 1412CC97, Key: LocaleOption_Polish, Value: Polish
Hash: AD7F218F, Key: LocaleOption_Japanese, Value: Japanese
Hash: 1B949A5E, Key: BagType_Mount, Value: Mount
Hash: CACBF482, Key: CoreStatPoints, Value: Stat 
Points
Hash: 92C7BC3C, Key: SkillPoints, Value: Skill 
Points
Hash: F398E3EA, Key: Energy, Value: Energy
Hash: E2B8CD24, Key: OptionDLSSUltraPerf, Value: Ultra Performance
Hash: F1B17B5C, Key: OptionDLSSPerf, Value: Performance
Hash: ECD9C7F9, Key: OptionDLSSBalanced, Value: Balanced
Hash: 14D44C78, Key: OptionDLSSQuality, Value: Quality
Hash: 6953A940, Key: OptionDLSSUltraQuality, Value: Ultra Quality
Hash: 6461D54A, Key: UnspentPoints, Value: Unspent Points
Hash: C6E0810B, Key: OptionSwitch, Value: Switch
Hash: F34675BC, Key: OptionXboxOne, Value: XboxOne
Hash: BD2A3070, Key: OptionPS4, Value: PS4
Hash: BF7B8601, Key: OptionPS4Pro, Value: PS4Pro
Hash: 98D40858, Key: OptionXboxSeriesS, Value: XboxSeriesS
Hash: 98D4085D, Key: OptionXboxSeriesX, Value: XboxSeriesX
Hash: 5C152DB4, Key: OptionXboxOneX, Value: XboxOneX
Hash: BD2A3071, Key: OptionPS5, Value: PS5
Hash: 220D5A10, Key: OptionFramerate, Value: Frame rate
Hash: F10FC1ED, Key: OptionResolution, Value: Resolution
Hash: 0CEF279B, Key: RefreshRate, Value: {s1} Hz
Hash: BB0B54B9, Key: TooltipRatingLabelAttackSpeed, Value: {s1} Attacks per Second {s2}
Hash: 888F269B, Key: TooltipRatingLabelDamagePerHit, Value: {s1} Damage per Hit
Hash: 67A37DC8, Key: OptionChatTimestampFormatSixHour, Value: 6:30
Hash: 65743113, Key: OptionChatTimestampFormatSixHourAmPm, Value: 6:30 PM
Hash: CAC9EE8B, Key: OptionChatTimestampFormatTwelveHour, Value: 18:30
Hash: 7F9E59A6, Key: OptionChatTimestampFormatNone, Value: None
Hash: 78A132C6, Key: OptionFrameLimit30, Value: 30
Hash: 78A13329, Key: OptionFrameLimit60, Value: 60
Hash: A67591CE, Key: OptionFrameLimitUnlimited, Value: Display Native
Hash: A08CFC05, Key: ParagonPoints, Value: Paragon
Points
Hash: 4F13283D, Key: ParagonUnlocked, Value: Paragon Unlocked
Hash: 324982C4, Key: TooltipRatingLabelDamagePerHitHeader, Value: Damage per Hit
Hash: D8046A34, Key: LorePrompt, Value: {icon:r3, 2}  Stop / Close
Hash: E65414D8, Key: BossName, Value: {s1} {icon:Social_Title_Bullet} {s2}
Hash: 52E191D4, Key: Tutorial, Value: Tutorial
Hash: E2501FED, Key: BulletText, Value: {icon:bullet_generic, 1.5} {s1}
Hash: 7787678C, Key: BulletLabelDescription, Value: {icon:bullet_generic, 1.5} {s1}: {s2}
Hash: 51CA8AE5, Key: OptionImageQuality, Value: Image Quality
Hash: 1D1B0137, Key: Notification_RewardUnlock, Value: Reward Unlocked
Hash: EE4D1659, Key: Notification_RewardAspectBody, Value: View Codex of Power
Hash: 38B26F15, Key: Notification_RewardTitleGained, Value: Title Gained
Hash: F3997BF7, Key: KeyBindInstructionGamepad, Value: Press a button to bind: 
{c_highlight}{s1}{/c}
Hash: D8C1C952, Key: LocaleOption_Turkish, Value: Turkish
Hash: 0F0619B7, Key: OptionReflexDisabled, Value: Disabled
Hash: 408DBFCA, Key: OptionReflexEnabled, Value: Enabled
Hash: 25CD8DD5, Key: OptionReflexEnabledPlusBoost, Value: Enabled + Boost
Hash: F1A98608, Key: OptionDLSSAuto, Value: Auto
Hash: 906AA842, Key: Notification_RewardCosmetic, Value: Cosmetic Gained
Hash: 76C5ACE4, Key: OptionResolutionScalingDLSS, Value: NVIDIA DLSS Super Resolution
Hash: 03996BB9, Key: OptionResolutionScalingFSR, Value: AMD FSR 1.0
Hash: 76C6E30B, Key: OptionResolutionScalingFSR2, Value: AMD FSR 2
Hash: 2F1B13AB, Key: OptionResolutionScalingCheckerboard, Value: Checkerboard
Hash: EB916F93, Key: Notification_WardrobeCosmetic, Value: Visit the Wardrobe to equip
Hash: F1AB0261, Key: OptionDLSSDLAA, Value: DLAA
Hash: B0CFCFA1, Key: OptionUltra, Value: Ultra
Hash: 09757AD1, Key: OptionDisabled, Value: Disabled
Hash: 086249EF, Key: Stats, Value: Stats
Hash: 865C1D65, Key: FlyoutMaterials, Value: {icon:Bag_Tab_Materials, 3}
Hash: 9C189FF2, Key: FlyoutStats, Value: {icon:Bag_Tab_Stats, 3}
Hash: 52EA0D5C, Key: InventoryTitleInfo, Value: Set titles within Profile
Hash: E6602D51, Key: QuestLimit, Value: ({s1} / {s2})
Hash: 891DB606, Key: Duration, Value: Duration: 00:{s1}
Hash: 73557DC6, Key: Essence, Value: Essence
Hash: D6A8BFF9, Key: ParagonPointReceived, Value: {c:FFdba864}+{s1}{/c} Paragon |4Point:Points;
Hash: 9804D888, Key: Paragon, Value: Paragon
Hash: FB85E0B3, Key: Notification_RewardGained, Value: Reward Gained
Hash: D98805DE, Key: Notification_RewardMount, Value: Mount
Hash: C7EB678C, Key: Notification_RewardMountBody, Value: Visit the Stablemaster to equip
Hash: 5CAC25FD, Key: Notification_ItemGained, Value: Item Gained
Hash: D8B0630C, Key: Notification_RewardArmor, Value: Mount Armor
Hash: 1B0FE4B1, Key: Notification_RewardTrophy, Value: Mount Trophy
Hash: 81728086, Key: LevelUpSkillPoint, Value: {c:FFbf6b31}+ {s1}{/c} Skill |4Point:Points; {icon:Skill_Icon, 2}
Hash: 1688566F, Key: LevelUpParagonPoint, Value: {c:FFbf6b31}+ {s1}{/c} Paragon |4Point:Points; {icon:ParagonPoint_Icon, 2}
Hash: 76D086B1, Key: OptionResolutionScalingXeSS, Value: Intel XeSS
Hash: 0A2BF8B3, Key: OptionResolutionScalingDefault, Value: None
Hash: CC31E45F, Key: DisconnectPatchText, Value: The season has ended and your client has been disconnected from the server. Please update your client to the lastest version to log in.
Hash: 8EAD9D1F, Key: OptionRayTracingLow, Value: Ray Tracing Low
Hash: 034D134E, Key: OptionRayTracingMedium, Value: Ray Tracing Medium
Hash: 645EF44D, Key: OptionRayTracingHigh, Value: Ray Tracing High
Hash: F12A9A95, Key: OptionRayTracingUltra, Value: Ray Tracing Ultra
Hash: A28484A3, Key: BulletMasterworkRank, Value: {s3} Masterwork: {s1} / {s2}
Hash: 93BAE5BD, Key: Notification_RewardCompanionBody, Value: Visit the Wardrobe to equip
Hash: 3E8BD3A8, Key: TemperManualFlippyFormat, Value: Manual: {s1}
Hash: EEDC6271, Key: OptionXESSUltraQualityPlus, Value: Ultra Quality Plus
Hash: 40A88D65, Key: OptionXESSNativeAA, Value: Native Anti-Aliasing
